Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b0502,-0.21946474266666627,1.0319878523333337,0.7324352163333341,0.5820386203333339,0.8251300093333338,0.9601560933333335,0.8761782593333338,-0.07599923666666619,0.13760542333333348,-0.061606186666666396,-0.05201053166666636,0.20602880533333412
b0503,0.0414946663333331,1.6167772193333332,1.6015247843333333,1.4555987153333336,1.6401087063333333,1.8601032123333332,1.6547624483333334,-0.12877647066666675,0.15476311033333312,-0.02598663966666681,0.23674489633333318,0.3298459543333334
b0504,0.2993221336666667,0.49727501666666685,0.4960781946666666,0.5365783706666667,0.8269155926666669,0.42255280566666675,0.20881279966666666,-0.22359899933333338,0.25542859666666695,-0.031829597333333126,0.21041304466666677,0.2705303276666666
b0505,0.3306169596666666,0.5718686276666669,0.1743711126666665,0.3584086816666665,0.4563179016666665,0.09594276066666652,0.4598963126666664,0.0559125336666666,0.13422788566666632,-0.19014041933333337,0.3075937266666666,0.6138816146666666
b0506,-0.22059293366666743,-0.6875971066666668,-0.6277371346666669,-0.6222164616666674,-0.7204002876666671,-0.8467868396666667,-0.8631666266666667,0.03170875933333228,-0.05346443866666739,0.021755679333333333,0.0009866403333322893,0.020075683333333316
b0507,0.07626024299999967,-0.24811493200000045,-0.28982823400000024,-0.22565882800000026,-0.3173535380000003,-0.27740076400000024,-0.3695752670000001,0.0064885889999999335,-0.03495013900000021,0.028461549999999836,-0.11757136500000032,0.33286092899999975
b0508,-0.10963385366666656,-0.4364019556666665,0.030841777333333376,-0.31161537566666664,0.11433793333333342,0.14528956633333334,-0.37711537866666656,0.1635784113333334,-0.29394390866666664,0.13036549733333347,-0.19749596066666664,-0.45712520366666665
b0509,-0.19790745766666662,-0.09058425466666664,-0.13943226766666683,0.06518058933333326,0.07978733033333318,-0.1115289936666668,-0.23419506666666678,-0.09624511366666666,-0.15513608366666665,0.2513811973333333,-0.3023502476666666,0.08406128733333329
b0511,0.49596381033333337,-0.06786057666666656,-0.19770609366666658,-0.35919362966666657,-0.0070601146666665615,0.35860555633333346,-0.1410325486666666,-0.07081247766666654,0.13689067333333338,-0.06607819566666662,0.11089261633333347,0.20474228033333342
b0512,0.31481381233333305,-0.508747330666667,-0.38495370966666664,-0.2316961596666669,-0.4801970166666667,-0.6099567216666668,-0.8438460786666666,0.05756211733333316,0.07290175433333301,-0.13046387166666662,-0.03725839066666703,0.12416912533333324
b0513,-0.09298767699999999,0.15027661799999992,0.24455572000000014,0.18045146300000026,0.04653231499999988,0.17684481600000002,-0.2061978619999998,0.022502177000000234,0.03537249599999992,-0.05787467299999971,-0.0852495219999998,0.17572144300000003
b0514,-0.24989934966666683,-0.28419572566666673,0.1589273183333333,-0.029852504666666668,-0.0635289366666667,-0.3724435096666667,-0.3329045596666669,-0.09114420366666698,-0.005443781666666592,0.09658798533333313,-0.3926310576666667,0.21726936333333313
b0515,0.0581844199999999,0.35040440399999984,-0.1332361260000008,0.01172633399999956,0.2324609759999996,0.15383763799999972,0.3085438579999993,0.027173351999999262,0.06438844899999996,-0.09156180100000011,0.031664439000000044,0.07435818799999971
b0516,0.06977005066666697,0.3133725076666667,0.16521080666666688,0.1492261986666672,0.31882581566666746,0.27407408966666713,0.162429482666667,0.024264256666667094,-0.10320433333333279,0.07894007666666703,0.3272650916666673,0.14209474666666688
b0517,0.44043903100000037,-0.0040237539999998795,0.19631608200000006,0.31256088700000006,-0.009980837999999714,0.14933016600000037,-0.6530360599999998,0.020555168000000457,-0.15848366299999972,0.13792849500000015,0.08956075300000021,0.4151508220000002
b0518,-0.04148770166666682,-0.07932009866666678,0.10151775633333315,-0.18404996866666679,-0.03929513266666684,-0.13990211966666677,-0.13509939666666682,0.023070085333333212,-0.05366699366666683,0.030596908333333284,-0.3727812816666668,0.07936878433333328
b4572,-0.8681645806666667,0.43584398933333346,0.6815891803333332,0.2235104853333334,-0.06695736966666677,0.03289339033333327,0.2779359653333333,-0.11558015966666679,-0.03773811566666674,0.1533182753333333,0.1099272893333334,0.022344795333333334
