Geneid,PD_117_R10_S05#,PD_117_R11_S05#,PD_117_R12_S05#,PD_117_R13_S05#,PD_117_R14_S05#,PD_117_R15_S05#,PD_117_R16_S05#,PD_117_R5_S05#1,PD_117_R6_S05#1,PD_117_R7_S05#1,PD_117_R8_S05#1,PD_117_R9_S05#1
b2229,1.232769496,0.940574169,1.59774833,1.406054196,1.335597851,1.557894768,1.325917248,1.301663624,1.043396491,1.14489808,0.976917395,0.96993442
b2230,2.582127471,2.481564965,2.732168662,2.366417796,2.489627832,2.643648393,2.61398647,2.612980685,2.395924829,2.52944693,2.45866238,2.246258328
b2231,7.132992922,7.739041218,7.886630043,7.737385552,7.969754707,7.968881597,8.007295789,7.186115824,7.227849294,7.345539108,7.511444562,7.433583957
b2232,7.011968116,7.414966893,7.397915194,7.347283551,7.491785332,7.557819085,7.663344532,6.976783104,6.913003588,7.021677523,7.025588072,7.092426249
b2233,3.458093198,4.34591148,4.346044636,4.284058609,4.21591347,4.1606187,4.115695206,3.713002767,3.837719219,3.767768083,3.98075471,3.817038764
b4605,1.739980716,1.219008092,0.0,1.201689994,0.731455705,0.0,1.852797314,0.657340326,0.655121493,1.736771046,0.0,1.754481982
b2234,6.49724629,6.788882665,6.650976356,6.765194556,7.218701999,7.259577376,7.379573779,6.263128305,6.322554008,6.215153707,6.434334463,6.42968536
b2235,6.765411329,6.950197654,6.979984451,6.946329217,7.380429432,7.341919863,7.267364715,6.466765784,6.448727409,6.476833881,6.679478276,6.636092573
b2236,5.621696091,5.956825336,5.693184991,5.926822728,6.288852564,6.436928164,6.320359857,5.543204073,5.516954903,5.19257363,5.616608262,5.60266916
b2237,6.551402727,8.073935279,8.099693488,7.951853635,8.302015259,8.295012107,8.192929119,6.426732057,6.422870868,6.526823674,6.64253774,6.506676631
b2238,0.859190231,1.726540205,1.744076484,1.489964257,1.909232119,1.234203345,0.932455239,0.0,0.0,0.491308162,0.874948399,1.797955549
b2239,5.743323825,6.337958923,6.482684531,6.582303693,6.024505756,5.68213548,5.648323006,5.829635725,5.741095633,5.830641538,5.781773555,5.805137466
b2240,4.227320435,6.208546378,6.26047123,6.259819458,5.62694025,5.266569096,5.248600405,4.227712375,4.154497397,4.061495837,4.465063031,4.374836197
b2241,1.641776835,3.433128512,3.298420347,3.405480611,3.000798824,2.257330934,2.316996339,1.085735142,1.047494106,0.985175018,1.591411943,1.556411442
b2242,1.61957423,3.740725168,3.608233872,3.463264327,3.193796278,3.109163842,2.961844852,1.667558054,1.471712847,1.847796181,2.02949135,2.089444597
b2243,1.706496201,3.161424696,2.974747639,3.027176986,2.493265866,2.408616241,2.70634197,1.895914648,1.214329497,1.639445859,2.091259183,1.95247883
b2244,4.641820206,4.502761816,4.526729668,4.286383979,4.353297204,4.258988462,4.486610647,4.747243521,4.721421685,4.885305833,4.90047653,4.714789937
b4543,7.148439815,6.66152837,6.587811761,6.443897294,6.531485571,6.243347741,6.185625372,6.978608324,7.017870205,7.058501488,6.881912448,7.102969524
b2245,3.24610085,3.488842876,3.465031474,3.491273512,3.232173049,3.394797461,3.124169379,3.476468139,3.682360326,3.407364818,3.654697887,3.748160105
b2246,3.066972797,3.262607718,3.156767347,3.289855008,3.06538994,3.103681662,3.113327643,3.34324477,3.364979543,3.16070334,3.383250416,3.451262537
b2247,5.153021208,4.095329054,4.057362764,4.466751156,3.429827828,3.62033611,3.404674692,5.289487923,5.303765235,5.137192704,5.215006559,5.195591925
b2248,3.280306981,3.099356345,2.946561362,3.264159426,3.152735587,2.748671398,2.345715474,3.214037415,3.273138764,3.243891929,3.262769082,3.376714639
b2249,6.065489298,6.137097242,5.874243642,6.030105764,5.994529468,6.032659375,6.150466915,6.01104467,6.01431055,6.038166417,6.166222209,6.024178451
b2250,4.085876968,4.456307225,4.559105864,4.368222276,4.622927664,4.657249342,4.533931472,4.229220638,4.175603232,4.278378361,4.118729869,4.194837567
b2251,4.03793118,6.070524207,6.123846558,6.142729941,6.354029925,6.097469785,6.042103399,3.93001226,3.848538122,3.214139548,3.782891373,3.852179917
b2252,2.211858052,2.779552565,2.800993557,2.685538742,3.072325404,3.127346778,3.137013351,1.68046626,2.147741296,1.627209798,1.949642371,2.642510601
b2253,5.370840497,5.917536053,5.755137981,5.949245524,5.917640502,5.929770187,5.718210621,5.294799519,5.288883253,5.406390761,5.116465087,5.121121389
b2254,4.517936445,5.681425016,5.147110083,5.347064735,5.558259416,5.525838228,5.527436036,4.573815823,4.525829603,4.519017454,4.501124947,4.399828188
b2255,4.757253958,5.857676388,5.840928913,5.738685437,5.660508132,5.795574232,5.819675126,4.956585588,5.019154951,4.95547544,4.870300496,4.79069116
b2256,4.223601699,5.347022673,5.113879636,5.104687237,4.807328473,4.966702801,5.119824869,4.255228315,4.311531978,4.358353519,3.957061738,4.152688235
b2257,3.616364153,4.319826952,4.343646511,4.375960229,4.130027809,3.944534512,4.037031256,4.056329995,4.054976781,3.947587791,3.752708345,3.826231947
b4544,4.618839755,5.013448929,4.918503867,4.892139982,4.830365716,4.715624705,4.951620322,5.051230495,4.773802628,4.657944557,4.738141294,4.563052947
b2258,3.673099674,4.028284595,4.073527457,4.144823071,3.883531993,3.928617538,3.915773599,3.839479142,3.744578332,3.937610103,3.576343806,3.787519793
b2259,5.360170086,6.337193814,6.235108921,5.98650868,6.152922794,5.998075851,5.876699908,5.201541966,5.219837621,5.228332019,5.571399444,5.487141114
b2260,4.430667101,5.496234151,5.340908514,5.361318694,5.526329014,5.402366466,5.628546761,4.717750989,4.718615171,4.652752535,4.579841981,4.687618989
b2261,5.573833911,6.368208234,6.305389533,6.344999574,6.632919315,6.424458204,6.573302376,5.815632801,5.880833915,5.953270304,5.936188262,5.693898496
b2262,6.131940673,6.74555435,6.52605678,6.638435489,6.971002464,6.887054046,6.884553411,6.25114409,6.234102706,6.139491999,6.184406145,6.287224165
b2263,4.549826022,5.244404955,5.106543368,5.110421381,5.315994784,5.262229065,5.304859979,4.792790057,4.716882476,4.737196949,4.610357693,4.706559323
b2264,4.92334759,5.357317114,5.454447909,5.284675222,5.345591153,5.646484148,5.548624886,4.921050698,4.871909865,4.852702384,4.937774025,4.936112176
b2265,6.63172824,6.67021796,6.486225272,6.597612906,6.479972754,6.662608972,6.655872551,6.491030086,6.501390013,6.466273784,6.451422908,6.498611582
b2266,11.00238206,9.968295849,10.16973819,10.07138806,9.79869299,9.580986761,9.696036395,11.19185806,11.12977328,11.31248281,10.87424328,10.95116939
b2267,6.131652064,6.384898212,6.247201892,6.307573895,6.51984217,6.483420756,6.467913822,6.085807247,6.292588897,6.32001328,6.305473688,6.070964283
