"","loadings.PC1","loadings.PC2","loadings.PC3","loadings.PC4","loadings.PC5","loadings.PC6","loadings.PC7","loadings.PC8","loadings.PC9","loadings.PC10","loadings.PC11","loadings.PC12"
"b0996",0.0120169356081876,-0.0115856281515481,0.00954273390171606,-0.0380774090342137,-0.00371761937659977,0.001963404008127,-0.0105082809493977,-0.0458556883986139,-0.0064578693108512,-0.0147521118860562,-0.0315614251571333,0.000725267716324992
"b1001",-0.00421369883484734,-0.0238132068788019,0.0427884485880024,0.0155848593828942,-0.0120459485155585,-0.0078106810155276,0.00593212378156011,0.00463978235119511,0.0356207700122011,0.00587161812330479,0.0269957969909662,-0.000810218602623061
"b1072",0.00733520929069116,0.0365674262629339,-0.00310896685504553,0.0238365967692435,-0.00854936571665381,0.00964585895407148,-0.0112141391077341,-0.00878943679552949,0.0258497944474079,0.00223588280558779,-0.0133158787905352,0.00201749156266189
"b1473",-0.0206502672655021,-0.00817191008972889,-0.00317975629332126,0.00100506821943029,0.000961722146607918,-0.00199886543146832,0.00103682294894246,0.000832789122232163,-0.000549996286474792,-0.000918647798847573,0.000785788164455013,-0.000648128518719722
"b1500",0.00475851697451637,0.0202512576845679,-0.00573219589297864,0.00966900951387148,0.0162749528050447,0.0322950611190661,0.0460806020659748,-0.0404247886762071,-0.0176393295367487,-0.012271300057503,-0.032979977224366,0.00139981580451211
"b4460",-0.0175776883848535,0.00682998565517946,0.015024123487315,-0.00274086902833424,-0.0215302460864196,0.0149949531852123,0.010231998860433,-0.00398079377475634,0.00129081521600038,0.0133460251294672,-0.0348047792825207,0.00152256910721695
"b2573",-0.0200147422846902,0.0127251976825954,-0.00392424182832142,0.00496669864729555,0.00272148197098644,-0.00399110569255823,0.00218688632858197,0.0018645839663779,-0.00267310990081346,-0.00147695747153395,-0.00555173324155084,0.00142022844547989
"b2585",-0.0138730810628266,-0.0199326285841513,-0.0292792556903111,-0.0129404172615023,-0.0128789260134786,0.0130839125478718,0.0227697652980476,-0.00122259376284445,-0.0124686472315781,-0.0108526594197979,-0.00909831169525043,-0.00187186276702395
"b2617",-0.0101806589821629,-0.0202182928280394,-0.0272134516434119,0.00156291739094506,-0.019040118398588,-0.0413353352415376,0.0106917592426351,-0.00235099266669505,0.00115955810234883,-0.0340820029437259,0.00187566909746789,-0.00340249298889868
"b2636",0.0158864355849974,0.00428677172757792,0.00399360230039289,-0.00476274869665803,-0.0220493801248655,0.0144319336333073,-0.00940410311996271,0.0177244995945718,-0.046094051873995,-0.0296181923625694,-0.0057770727913916,-0.00122229893821569
"b2779",-0.012674005290343,0.0228406458828812,0.0326931954106166,0.0192712062642652,0.0135154178382944,0.0135443206307966,0.00162932527312237,0.00612934524454509,-0.00325851494966546,-0.00107462515871556,0.0105409427573566,0.000416930283433872
"b2874",-0.01730394034185,-0.0075756738000717,-0.0216360709443412,-0.00570220519590935,0.0117291663158335,0.0305978564301101,0.0134066598323751,-0.0029595913154324,-0.0038819905519721,-0.0113170367824364,0.00498637418401532,-0.000321772047395154
"b2940",0.000466012073620898,-0.0150273492186325,-0.0114623035673726,-0.0468958745540778,-0.00966459411049121,-0.0532053682805481,-0.014036874406985,0.0220608475393482,0.00927674057255912,0.00708100371691918,0.00384266781602268,-0.00196215258379212
"b3097",-0.0206654414912696,0.00520279523933743,-0.00727708941132663,-0.00158794004262219,0.00138805247778433,-0.00639056510321438,0.00102133502736273,0.0022528687945709,-0.00221348151598233,-0.00444710588562992,-0.00218467883940826,-0.000349430673904843
"b3398",0.018406263815326,0.0111553970143577,-0.0231718712204747,-0.00954951242631066,-0.000399360256408493,-0.000949098321617243,-0.0016592975237201,0.0124145871792683,-0.00107192058244534,0.0104425397804516,-0.00886028740049626,-0.000879309438135011
"b3467",-0.0167985824319269,-0.0178337206061275,-0.00751094772068424,-0.0164452943330136,-0.0037572304026784,-0.0289244961889869,0.00589274832413248,0.00348843270208377,-0.00148086131837541,-0.00777619402496672,-0.0172797895093938,-0.00276015855821532
"b3685",0.00390985419280422,0.0380280484167291,-0.0189593886314791,0.000978849733673254,0.0138022666740294,-0.00744834430726908,0.0109296342476424,-0.019789366437764,-0.0192166621830384,0.00668878259845284,-0.0238857692167536,0.000278811273566927
"b3954",-0.00192511726775631,-0.0230117270653638,-0.0370296379339916,-0.00511870456647438,-0.0289628503278256,-0.0238829015854112,-0.00693740362718543,-0.00529898018733344,-0.0342903910673393,-0.00352798203285563,-0.033489277909433,-0.00293500761753397
"b3984",0.0162190948599409,-0.0107474364471217,0.0167979101199081,0.024683451792142,0.0118779283887527,0.0323291396695247,0.00833613072259562,-0.00124186064286071,-0.00984229781437936,-0.000795387188101969,-0.00111914346213812,0.00184302556869652
"b4260",-0.00525102081880361,0.00931214073291518,-0.0283891686766443,-0.00617877948206721,0.0474212254684557,0.00261657212011178,0.0304307579064425,0.0472500299595653,-0.00700996339981222,0.0103307952899234,0.0039485034495411,-0.00151671970966041
"b0002",0.0202001465937903,0.00262284268149098,0.0053966583295637,-0.0183641846841329,-0.00209084520258655,-0.00601639721822333,-0.00159757275331946,0.00163305952625976,0.00292964293055332,-0.00376763137064581,-0.00194595042051108,0.000878505579887821
